nazwa,email,www,typ,miasto
LICEUM OGÓLNOKSZATŁCĄCE DLA DOROSŁYCH W CZYŻEWIE, sekretariat@zsoiz-czyzew.pl, http://www.zsoiz-czyzew.pl, Typ: Liceum ogólnokształcące,Czyżew
LICEUM OGÓLNOKSZATŁCĄCE IM. ROTMISTRZA WITOLDA PILECKIEGO W CIECHANOWCU, zsoiz-ciechanowiec@wp.pl, http://www.zsoiz-ciechanowiec.pl, Typ: Liceum ogólnokształcące,Ciechanowiec
LICEUM OGÓLNOKSZATŁCĄCE IM.KRÓLA KAZIMIERZA JAGIELLOŃCZYKA W WYSOKIEM MAZOWIECKIEM, sekretariat@jagiellonczyk.org.pl, http://www.jagiellonczyk.org.pl, Typ: Liceum ogólnokształcące,WysokieMazowieckie
LICEUM OGÓLNOKSZTAŁCĄCE, zsrostrozany@siemiatycze.pl, http://zsrostrozany.edupage.org, Typ: Liceum ogólnokształcące,Drohiczyn
LICEUM OGÓLNOKSZTAŁCĄCE, czartajew@poczta.onet.pl, http://www.zsr-czartajew.pl, Typ: Liceum ogólnokształcące,Siemiatycze
LICEUM OGÓLNOKSZTAŁCĄCE, liceum@liceum.net, http://liceum.net, Typ: Liceum ogólnokształcące,CzarnaBiałostocka
LICEUM OGÓLNOKSZTAŁCĄCE BENEDYKTA W DROHICZYNIE, liceum@szkolybenedykta.pl, http://szkolybenedykta.pl, Typ: Liceum ogólnokształcące,Drohiczyn
LICEUM OGÓLNOKSZTAŁCĄCE CENTRUM SZKÓŁ MUNDUROWYCH W BIAŁYMSTOKU, sekretariat.bialystok@locsm.edu.pl, http://, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE CENTRUM SZKÓŁ MUNDUROWYCH W BIAŁYMSTOKU, sekretariat.bialystok@locsm.edu.pl, http://www.locsm.edu.pl/bialystok/, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "AKADEMIA SUKCESU" W SUWAŁKACH, suwalki@as.edu.pl, http://, Typ: Liceum ogólnokształcące,Suwałki
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "EKSPERT" W BIAŁYMSTOKU, EKSPERT_EDU@WP.PL, http://, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "MENTOR" W GRAJEWIE, grajewo@centrumedu.pl, http://www.grajewo.centrumedu.pl, Typ: Liceum ogólnokształcące,Grajewo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "MENTOR" W GRAJEWIE, lucbag@o2.pl, http://, Typ: Liceum ogólnokształcące,Grajewo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "ŻAK" W BIAŁYMSTOKU, bialystok@zak.edu.pl, http://www.zak.edu.pl, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "ŻAK" W ŁOMŻY, lomza@zak.edu.pl, http://, Typ: Liceum ogólnokształcące,Łomża
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "ŻAK" W SUWAŁKACH,, http://, Typ: Liceum ogólnokształcące,Suwałki
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH NR II W WYSOKIEM MAZOWIECKIEM, ckzwmsekr@go2.pl, http://www.ckzwm.edu.pl, Typ: Liceum ogólnokształcące,WysokieMazowieckie
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W DĄBROWIE BIAŁOSTOCKIEJ, liceum@data.pl, http://, Typ: Liceum ogólnokształcące,DąbrowaBiałostocka
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W GRAJEWIE, lograjewo@op.pl, http://www.lograjewo.pl, Typ: Liceum ogólnokształcące,Grajewo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W HAJNÓWCE, hajnowka@ckedukator.pl, http://www.hajnowka.ckedukator.pl, Typ: Liceum ogólnokształcące,Hajnówka
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W HAJNÓWCE ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU, hajnowka@zdz.bialystok.pl, http://www.zdz.bialystok.pl, Typ: Liceum ogólnokształcące,Hajnówka
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W JEDWABNEM,, http://, Typ: Liceum ogólnokształcące,Jedwabne
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ŁAPACH,, http://, Typ: Liceum ogólnokształcące,Łapy
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W MOŃKACH, sekretariat@zsmonki.pl, http://www.zsmonki.pl, Typ: Liceum ogólnokształcące,Mońki
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W SIEMIATYCZACH ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU, siemiatycze@zdz.bialystok.pl, http://szkolenia.zdz.bialystok.pl/siemiatycze/, Typ: Liceum ogólnokształcące,Siemiatycze
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W SOKÓŁCE, sekretariat@liceumsokolka.pl, http://www.liceumsokolka.pl, Typ: Liceum ogólnokształcące,Sokółka
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W SOKÓŁCE ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU, sokolka@zdz.bialystok.pl, http://, Typ: Liceum ogólnokształcące,Sokółka
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W SUWAŁKACH,, http://, Typ: Liceum ogólnokształcące,Suwałki
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ZAMBROWIE ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU, zambrow@zdz.bialystok.pl, http://www.szkolyzdz.pl, Typ: Liceum ogólnokształcące,Zambrów
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ZAOCZNE TOWARZYSTWA WIEDZY POWSZECHNEJ W BIAŁYMSTOKU, nauka@twp.bialystok.pl, http://, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ZESPOŁU SZKÓŁ LOGIZ W BIAŁYMSTOKU, logiz@wp.pl, http://www.logiz.edu.pl, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE IM. CYPRIANA KAMILA NORWIDA W MOŃKACH, sekretariat@zsmonki.pl, http://www.zsmonki.pl, Typ: Liceum ogólnokształcące,Mońki
LICEUM OGÓLNOKSZTAŁCĄCE IM. J.I. KRASZEWSKIEGO W DROHICZYNIE,, http://, Typ: Liceum ogólnokształcące,Drohiczyn
LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. JERZEGO POPIEŁUSZKI W SUCHOWOLI, sekretariat@losuchowola.edu.pl, http://www.losuchowola.edu.pl, Typ: Liceum ogólnokształcące,Suchowola
LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA W SOKÓŁCE, sekretariat@liceumsokolka.pl, http://www.liceumsokolka.pl, Typ: Liceum ogólnokształcące,Sokółka
LICEUM OGÓLNOKSZTAŁCĄCE IM. SZYMONA KONARSKIEGO W SEJNACH, zso.sejny@op.pl, http://www.liceum.sejny.pl, Typ: Liceum ogólnokształcące,Sejny
LICEUM OGÓLNOKSZTAŁCĄCE INTEGRACYJNE W BIAŁYMSTOKU ZESPOŁU SZKÓŁ TECHNICZNYCH I OGÓLNOKSZTAŁCĄCYCH Z ODDZIAŁAMI INTEGRACYJNYMI IM. STANISŁAWA STASZICA W BIAŁYMSTOKU, zstio@um.bialystok.pl, http://www.zstio.net.pl, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE POLITECHNIKI BIAŁOSTOCKIEJ W BIAŁYMSTOKU, liceum@pb.edu.pl, http://www.pb.edu.pl, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE SŁONECZNA SZKOŁA, wolnaedu@onet.pl, http://wolnaedu.pl, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE SŁUŻB MUNDUROWYCH WSAP W BIAŁYMSTOKU, wsap@wsap.edu.pl, http://wsap.edu.pl/wsap/, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE W AUGUSTOWIE PRZY MŁODZIEŻOWYM OŚRODKU WYCHOWAWCZYM NR 4, mow4augustow@onet.pl, http://, Typ: Liceum ogólnokształcące,Augustów
LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE W GONIĄDZU, sekretariat@mowgoniadz.pl, http://www.mowgoniadz.pl, Typ: Liceum ogólnokształcące,Goniądz
LICEUM OGÓLNOKSZTAŁCĄCE TEB EDUKACJA DLA DOROSŁYCH W BIAŁYMSTOKU, bialystok@teb.pl, http://, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE W BRAŃSKU, zsbransk@wp.pl, http://zsbransk.edupage.org, Typ: Liceum ogólnokształcące,Brańsk
LICEUM OGÓLNOKSZTAŁCĄCE W CZYŻEWIE, sekretariat@zsoiz-czyzew.pl, http://www.zsoiz-czyzew.pl, Typ: Liceum ogólnokształcące,Czyżew
LICEUM OGÓLNOKSZTAŁCĄCE W DĄBROWIE BIAŁOSTOCKIEJ, liceum@data.pl, http://www.liceum-data.pl, Typ: Liceum ogólnokształcące,DąbrowaBiałostocka
LICEUM OGÓLNOKSZTAŁCĄCE W HAJNÓWCE ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU, hajnowka@zdz.bialystok.pl, http://www.zdz.bialystok.pl, Typ: Liceum ogólnokształcące,Hajnówka
LICEUM OGÓLNOKSZTAŁCĄCE W JEDWABNEM, gimnazjumjedwabne@wp.pl, http://www.zsjedwabne.internetdsl.pl, Typ: Liceum ogólnokształcące,Jedwabne
LICEUM OGÓLNOKSZTAŁCĄCE W KNYSZYNIE IM. PROF. CZESŁAWA KUDZINOWSKIEGO,, http://, Typ: Liceum ogólnokształcące,Knyszyn
LICEUM OGÓLNOKSZTAŁCĄCE W KRZYŻEWIE, zsr.krzyzewo@wp.pl, http://www.zsrkrzyzewo.pl, Typ: Liceum ogólnokształcące,Sokoły
LICEUM OGÓLNOKSZTAŁCĄCE W MICHAŁOWIE,, http://, Typ: Liceum ogólnokształcące,Michałowo
LICEUM OGÓLNOKSZTAŁCĄCE W NIEĆKOWIE, nieckowo@poczta.onet.pl, http://www.zsnieckowo.com.pl, Typ: Liceum ogólnokształcące,Szczuczyn
LICEUM OGÓLNOKSZTAŁCĄCE W SIEMIATYCZACH, sek.lo@wp.pl, http://www.lo-siemiatycze.edu.pl, Typ: Liceum ogólnokształcące,Siemiatycze
LICEUM OGÓLNOKSZTAŁCĄCE W SOKÓŁCE ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU, sokolka@zdz.bialystok.pl, http://www.sokolka.zdz.bialystok.pl, Typ: Liceum ogólnokształcące,Sokółka
LICEUM OGÓLNOKSZTAŁCĄCE W SZCZUCZYNIE, zswszczuczynie@op.pl, http://www.zsszczuczyn.pl, Typ: Liceum ogólnokształcące,Szczuczyn
LICEUM OGÓLNOKSZTAŁCĄCE W ZESPOLE SZKÓŁ W DOWSPUDZIE, zs.dowspuda@onet.pl, http://www.zs.dowspuda.pl, Typ: Liceum ogólnokształcące,Raczki
LICEUM OGÓLNOKSZTAŁCĄCE WSAP W BIAŁYMSTOKU, wsap@wsap.edu.pl, http://wsap.edu.pl/wsap/, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE Z LITEWSKIM JĘZYKIEM NAUCZANIA IM. 11 MARCA W PUŃSKU, licpunsk@gmail.com, http://licejus.eu, Typ: Liceum ogólnokształcące,Puńsk
LICEUM OGÓLNOKSZTAŁCĄCE ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU Z SIEDZIBĄ W SUWAŁKACH, suwalki@zdz.bialystok.pl, http://, Typ: Liceum ogólnokształcące,Suwałki
LICEUM OGÓLNOKSZTAŁCĄCE ZAOCZNE DLA DOROSŁYCH W BIAŁYMSTOKU, kancelaria@spo.edu.pl, http://www.spo.edu.pl, Typ: Liceum ogólnokształcące,Białystok
LICEUM OGÓLNOKSZTAŁCĄCE ZAOCZNE ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU, szkoly@zdz.bialystok.pl, http://www.zdz.bialystok.pl, Typ: Liceum ogólnokształcące,Białystok
MUNDUROWE LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W BIAŁYMSTOKU, mlo.bialystok@certus.edu.pl, http://www.certus.edu.pl, Typ: Liceum ogólnokształcące,Białystok
NIEPUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W MOŃKACH,, http://, Typ: Liceum ogólnokształcące,Mońki
NIEPUBLICZNE LICEUM ŚW. ŚW. CYRYLA I METODEGO W BIAŁYMSTOKU, sekretariat@szkolacim.pl, http://www.szkolacim.pl, Typ: Liceum ogólnokształcące,Białystok
NOVA LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W BIAŁYMSTOKU, bialystok@nova.edu.pl, http://www.nova.edu.pl, Typ: Liceum ogólnokształcące,Białystok
NOVA POLICEALNA SZKOŁA PROMOCJI KADR DLA DOROSŁYCH W BIAŁYMSTOKU, warszawa@nova.edu.pl, http://www.nova.edu.pl, Typ: Szkoła policealna,Białystok
NOVA POLICEALNA SZKOŁA ZAWODOWA W BIAŁYMSTOKU, bialystok@nova.edu.pl, http://www.nova.edu.pl, Typ: Szkoła policealna,Białystok
POLICEALNA SZKOŁA  NR 2 W ŁOMŻY, info@zckpiu.pl, http://www.zckpiu.pl, Typ: Szkoła policealna,Łomża
POLICEALNA SZKOŁA 'EDUKATOR" W HAJNÓWCE, hajnowka@ckedukator.pl, http://www.hajnowka.ckedukator.pl, Typ: Szkoła policealna,Hajnówka
POLICEALNA SZKOŁA "AKADEMIA SUKCESU" W SUWAŁKACH, suwalki.sekretariat@as.edu.pl, http://, Typ: Szkoła policealna,Suwałki
POLICEALNA SZKOŁA "COSINUS" W BIAŁYMSTOKU, bialystok@cosinus.pl, http://, Typ: Szkoła policealna,Białystok
POLICEALNA SZKOŁA "PRYMUS I" W BIAŁYMSTOKU, kancelaria@spo.edu.pl, http://www.spo.edu.pl, Typ: Szkoła policealna,Białystok
POLICEALNA SZKOŁA "PRYMUS" W BIAŁYMSTOKU, kancelaria@spo.edu.pl, http://www.spo.edu.pl, Typ: Szkoła policealna,Białystok
POLICEALNA SZKOŁA ADMINISTRACJI "AKADEMIA SUKCESU" W BIAŁYMSTOKU, biuro@as.edu.pl, http://, Typ: Szkoła policealna,Białystok
