nazwa,email,www,typ,miasto
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, zsilawa@poczta.onet.pl, http://www.zs-ilawa.pl, Typ: Liceum ogólnokształcące,Iława
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, zs-sekretariat@zs.lubawa.pl, http://, Typ: Liceum ogólnokształcące,Lubawa
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, cku_ilawa@sw.gov.pl, http://, Typ: Liceum ogólnokształcące,Iława
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, zszgoldap@post.pl, http://, Typ: Liceum ogólnokształcące,Gołdap
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, sekretariat.zszbraniewo@gmail.com, http://www.zszbraniewo.pl, Typ: Liceum ogólnokształcące,Braniewo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH,, http://, Typ: Liceum ogólnokształcące,LidzbarkWarmiński
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, cku@darsa.pl, http://www.edukacja.darsa.pl, Typ: Liceum ogólnokształcące,Działdowo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, zsilawa@poczta.onet.pl, http://www.zs-ilawa.pl, Typ: Liceum ogólnokształcące,Iława
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, zs-sekretariat@zs.lubawa.pl, http://, Typ: Liceum ogólnokształcące,Lubawa
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, cku_ilawa@sw.gov.pl, http://, Typ: Liceum ogólnokształcące,Iława
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH  "ALFA" W IŁAWIE, alfailawa@wp.pl, http://, Typ: Liceum ogólnokształcące,Iława
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "BIO-COSMETICS-STUDIO" W OLSZTYNIE, bcs@bcs.olsztyn.pl, http://bcs.infowm.pl, Typ: Liceum ogólnokształcące,Olsztyn
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "PASCAL" W EŁKU, a.lampka@pascal.edu.pl, http://, Typ: Liceum ogólnokształcące,Ełk
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "PASCAL" W OSTRÓDZIE, ostroda@pascal.edu.pl, http://www.pascal.edu.pl, Typ: Liceum ogólnokształcące,Ostróda
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "STOPKA" W KĘTRZYNIE, stopka@stopkapress.com.pl, http://www.stopkapress.com.pl, Typ: Liceum ogólnokształcące,Kętrzyn
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "ŻAK" W ELBLĄGU, elblag@zak.edu.pl, http://www.elblag.zak.edu.pl, Typ: Liceum ogólnokształcące,Elbląg
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "ŻAK" W OLSZTYNIE, olsztyn@zak.edu.pl, http://www.zak.edu.pl, Typ: Liceum ogólnokształcące,Olsztyn
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH NR 1 W BARTOSZYCACH,, http://, Typ: Liceum ogólnokształcące,Bartoszyce
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH NR III W MORĄGU, lomorag@poczta.fm, http://www.zsl-13.pl, Typ: Liceum ogólnokształcące,Morąg
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH NR IV W MORĄGU, mgzszio@poczta.onet.pl, http://www.zsziomorag.internetdsl.pl, Typ: Liceum ogólnokształcące,Morąg
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH NR V W CENTRUM KSZTAŁCENIA USTAWICZNEGO W OSTRÓDZIE, cku2002@poczta.onet.pl, http://www.ckuostroda.pl, Typ: Liceum ogólnokształcące,Ostróda
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH NR VI W OSTRÓDZIE, sekretariat@rolnik.edu.pl, http://www.rolnik.edu.pl, Typ: Liceum ogólnokształcące,Ostróda
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH SCE,, http://, Typ: Liceum ogólnokształcące,Janowo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W BARCZEWIE,, http://, Typ: Liceum ogólnokształcące,Barczewo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W BRANIEWIE, braniewo@wmzdz.pl, http://www.szkolabraniewo.pl, Typ: Liceum ogólnokształcące,Braniewo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W DOBRYM MIEŚCIE, zsdm@zsdm.edu.pl, http://www.zsdm.edu.pl, Typ: Liceum ogólnokształcące,DobreMiasto
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W EŁKU, szkola.beta@onet.pl, http://, Typ: Liceum ogólnokształcące,Ełk
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W IŁAWIE, ilawa@wmzdz.pl, http://www.szkolailawa.pl, Typ: Liceum ogólnokształcące,Iława
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W KĘTRZYNIE, ketrzyn@wmzdz.pl, http://szkolaketrzyn.pl/, Typ: Liceum ogólnokształcące,Kętrzyn
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W KĘTRZYNIE,, http://, Typ: Liceum ogólnokształcące,Kętrzyn
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W MRĄGOWIE,, http://, Typ: Liceum ogólnokształcące,Mrągowo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W MRĄGOWIE,, http://, Typ: Liceum ogólnokształcące,Mrągowo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W OLSZTYNIE, szkola@zso1.olsztyn.pl, http://www.zso1.olsztyn.pl, Typ: Liceum ogólnokształcące,Olsztyn
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W OLSZTYNKU, zs.olsztynek@zamek.edu.pl, http://www.zamek.edu.pl, Typ: Liceum ogólnokształcące,Olsztynek
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W PISZU W ZESPOLE PLACÓWEK KSZTAŁCENIA USTAWICZNEGO W PISZU, zpku@powiat.pisz.pl, http://www.zpkupisz.szkolnastrona.pl, Typ: Liceum ogólnokształcące,Pisz
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W SZCZYTNIE,, http://, Typ: Liceum ogólnokształcące,Szczytno
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ŚWIĘTAJNIE,, http://, Typ: Liceum ogólnokształcące,Świętajno
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ZESPOLE SZKÓŁ OGÓLNOKSZTAŁCĄCYCH W LIDZBARKU WARMIŃSKIM,, http://, Typ: Liceum ogólnokształcące,LidzbarkWarmiński
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ZESPOLE SZKÓŁ PONADGIMNAZJALNYCH NR 1 IM. KRESOWIAKÓW W BARTOSZYCACH, sekretariat@mechaniak.edu.pl, http://, Typ: Liceum ogólnokształcące,Bartoszyce
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ZESPOLE SZKÓŁ ZAWODOWYCH CKU W ORNECIE,, http://, Typ: Liceum ogólnokształcące,Orneta
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH WCHODZĄCE W SKŁAD CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO W ELBLĄGU, ckziu@elblag.eu, http://, Typ: Liceum ogólnokształcące,Elbląg
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH WCHODZĄCE W SKŁAD ZESPOŁU SZKÓŁ GOSPODARCZYCH W ELBLĄGU, zsg@elblag.eu, http://www.zsgelblag.pl, Typ: Liceum ogólnokształcące,Elbląg
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU Z SIEDZIBĄ W GIŻYCKU, gizycko@zdz.bialystok.pl, http://www.gizycko.zdz.bialystok.pl, Typ: Liceum ogólnokształcące,Giżycko
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU Z SIEDZIBĄ W OLECKU, olecko@zdz.bialystok.pl, http://olecko.zdz.bialystok.pl/szkola, Typ: Liceum ogólnokształcące,Olecko
LICEUM OGÓLNOKSZTAŁCĄCE DLA MŁODZIEŻY CENTRUM EDUKACJI MUNDUROWEJ WSFIZ EŁK, centrum.pasko@o2.pl, http://cem.elk.pl, Typ: Liceum ogólnokształcące,Ełk
LICEUM OGÓLNOKSZTAŁCĄCE IM. 9 BRANIEWSKIEJ BRYGADY KAWALERII PANCERNEJ IM. KRÓLA STEFANA BATOREGO, sekretariat@zsb.iq.pl, http://www.zsb.iq.pl, Typ: Liceum ogólnokształcące,Braniewo
LICEUM OGÓLNOKSZTAŁCĄCE IM. BOJOWNIKÓW O POLSKOŚĆ WARMII W ORNECIE, zso.orneta@op.pl, http://zsoorneta.szkolnastrona.pl, Typ: Liceum ogólnokształcące,Orneta
LICEUM OGÓLNOKSZTAŁCĄCE IM. BP. JANA CHRAPKA W RYBNIE, zsrybno@op.pl, http://zsrybno.edupage.org, Typ: Liceum ogólnokształcące,Rybno
LICEUM OGÓLNOKSZTAŁCĄCE IM. FELIKSA NOWOWIEJSKIEGO W BRANIEWIE, sekretariat@lobraniewo.pl, http://www.lobraniewo.pl, Typ: Liceum ogólnokształcące,Braniewo
LICEUM OGÓLNOKSZTAŁCĄCE IM. GEN.MARIUSZA ZARUSKIEGO, liceum@lowegorzewo.pl, http://www.lowegorzewo.pl, Typ: Liceum ogólnokształcące,Węgorzewo
LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II, logoldap@poczta.onet.pl, http://www.logoldap.szkolnastrona.pl/, Typ: Liceum ogólnokształcące,Gołdap
LICEUM OGÓLNOKSZTAŁCĄCE IM. KOMISJI EDUKACJI NARODOWEJ W BISKUPCU, zsbiskupiec@interia.pl, http://www.zslo.net.pl, Typ: Liceum ogólnokształcące,Biskupiec
LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA ŻEROMSKIEGO, lo@bartoszyce.info, http://www.lo.bartoszyce.info, Typ: Liceum ogólnokształcące,Bartoszyce
LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA BRONIEWSKIEGO, zs-sekretariat@zs.lubawa.pl, http://, Typ: Liceum ogólnokształcące,Lubawa
LICEUM OGÓLNOKSZTAŁCĄCE NR I IM. JANA BAŻYŃSKIEGO W OSTRÓDZIE, sekretariat@lo1.ostroda.pl, http://www.lo1.ostroda.pl, Typ: Liceum ogólnokształcące,Ostróda
LICEUM OGÓLNOKSZTAŁCĄCE NR I W ZESPOLE SZKÓŁ ZAWODOWYCH I OGÓLNOKSZTAŁCĄCYCH W MORĄGU, mgzszio@poczta.onet.pl, http://www.moragzszio.com.pl, Typ: Liceum ogólnokształcące,Morąg
LICEUM OGÓLNOKSZTAŁCĄCE NR II IM. LEONA KRUCZKOWSKIEGO, lomorag@poczta.fm, http://www.zsl-13.pl, Typ: Liceum ogólnokształcące,Morąg
LICEUM OGÓLNOKSZTAŁCĄCE NR II W OSTRÓDZIE, zszostroda@poczta.onet.pl, http://www.ekonomik.webd.pl, Typ: Liceum ogólnokształcące,Ostróda
LICEUM OGÓLNOKSZTAŁCĄCE NR II W ZESPOLE SZKÓŁ I PLACÓWEK OŚWIATOWYCH W LIDZBARKU WARMIŃSKIM,, http://, Typ: Liceum ogólnokształcące,LidzbarkWarmiński
LICEUM OGÓLNOKSZTAŁCĄCE NR III W ZESPOLE SZKÓŁ ROLNICZYCH IM. W. WITOSA W OSTRÓDZIE, sekretariat@rolnik.edu.pl, http://www.rolnik.edu.pl, Typ: Liceum ogólnokształcące,Ostróda
LICEUM OGÓLNOKSZTAŁCĄCE NR IV W ZESPOLE SZKÓŁ ZAWODOWYCH IM. STANISŁAWA STASZICA I CENTRUM KSZTAŁCENIA USTAWICZNEGO W OSTRÓDZIE, staszicostroda@poczta.onet.pl, http://www.staszic.ostroda.pl, Typ: Liceum ogólnokształcące,Ostróda
LICEUM OGÓLNOKSZTAŁCĄCE PATOS, patoslubin@wp.pl, http://, Typ: Liceum ogólnokształcące,Olsztyn
