nazwa,email,www,typ,miasto
CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO NR 2 TECHNIKUM NR 14 W GDAŃSKU, sekretariat@ckzu2.edu.gdansk.pl, http://ckzu2.edu.gdansk.pl, Typ: Technikum,Gdańsk
CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO NR 2 TECHNIKUM NR 8 W GDAŃSKU, sekretariat@ckzu2.edu.gdansk.pl, http://ckzu2.edu.gdansk.pl, Typ: Technikum,Gdańsk
CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO NR 2 W GDAŃSKU - SZKOŁA POLICEALNA DLA DOROSŁYCH NR 14, sekretariat@ckzu2.edu.gdansk.pl, http://ckzu2.edu.gdansk.pl, Typ: Szkoła policealna,Gdańsk
CHOJNICKA SZKOŁA REALNA -  LICEUM OGÓLNOKSZTAŁCACE DLA DOROSŁYCH W CHOJNICACH, jutazenker@gmail.com, http://chojnickaszkolarealna.pl, Typ: Liceum ogólnokształcące,Chojnice
CHRZEŚCIJAŃSKIE AUTORSKIE LICEUM OGÓLNOKSZTAŁCĄCE, barbara.czuprynska@pomagier.info, http://, Typ: Liceum ogólnokształcące,Gdańsk
COLLEGIUM MARIANUM,LICEUM KATOLICKIE W PELPLINIE, collegium@diecezja-pelplin.pl, http://www.collegiummarianum.pl, Typ: Liceum ogólnokształcące,Pelplin
CZERSKA SZKOŁA REALNA - LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W MALACHINIE,, http://, Typ: Liceum ogólnokształcące,Czersk
CZERSKA SZKOŁA REALNA - POLICEALNE STUDIUM ZAWODOWE W MALACHINIE,, http://, Typ: Szkoła policealna,Czersk
EXTERNUS- STUDIUM ZDROWIA I TERAPII, marzena.rapalska@externus.pl, http://, Typ: Szkoła policealna,Lębork
GDAŃSKA SZKOŁA POLICEALNA, gce@gce.edu.pl, http://gce.edu.pl, Typ: Szkoła policealna,Gdańsk
GDAŃSKIE LICEUM OGÓLNOKSZTAŁCĄCE, glogda@wp.pl, http://www.glogdansk.pl, Typ: Liceum ogólnokształcące,Gdańsk
GDAŃSKIE SZKOŁY AUTONOMICZNE GDAŃSKIE LICEUM AUTONOMICZNE, gla@gfo.pl, http://gla.gfo.pl, Typ: Liceum ogólnokształcące,Gdańsk
GDAŃSKIE SZKOŁY MEDYCZNE SZKOŁA POLICEALNA, b.prus@oswiatalingwista.eu, http://szkoly-medyczne.eu, Typ: Szkoła policealna,Gdańsk
GDYŃSKA SZKOŁA MORSKA, sdkgsm@wn.am.gdynia.pl, http://sdk.am.gdynia.pl, Typ: Szkoła policealna,Gdynia
GDYŃSKIE LICEUM AUTORSKIE SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO, gla@gla.edu.pl, http://www.gla.edu.pl/, Typ: Liceum ogólnokształcące,Gdynia
HIGH INTERNATIONAL SCHOOL OF GDANSK/MIĘDZYNARODOWE LICEUM OGÓLNOKSZTAŁCĄCE W GDAŃSKU, isg@gfo.pl, http://, Typ: Liceum ogólnokształcące,Gdańsk
I AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ZASŁUŻONYCH LUDZI MORZA, sekretariat@ialo.edu.gdynia.pl, https://1alo.org/, Typ: Liceum ogólnokształcące,Gdynia
I LICEUM OGÓLNOKSZTAŁCĄCE, dyrekcja@lo.bytow.pl, http://www.lo.bytow.pl, Typ: Liceum ogólnokształcące,Bytów
I LICEUM OGÓLNOKSZTAŁCĄCE CN-B IM. POLSKICH SPADOCHRONIARZY W GDAŃSKU, gdansk@cnb-feniks.edu.pl, http://szkolyfeniks.pl, Typ: Liceum ogólnokształcące,Gdańsk
I LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W LĘBORKU, sekretariat@lo1.lebork.pl, http://www.lo1.lebork.pl, Typ: Liceum ogólnokształcące,Lębork
I LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W SŁUPSKU, kontakt@szkoly-slupsk.pl, http://szkoly-slupsk.pl/, Typ: Liceum ogólnokształcące,Słupsk
I LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W WEJHEROWIE, sekretariat@liceum1.pl, http://www.liceum1.pl, Typ: Liceum ogólnokształcące,Wejherowo
I LICEUM OGÓLNOKSZTAŁCĄCE IM JÓZEFA WYBICKIEGO, lo1.koscierzyna@powiatkoscierski.pl, http://www.liceum.org.pl, Typ: Liceum ogólnokształcące,Kościerzyna
I LICEUM OGÓLNOKSZTAŁCĄCE IM. BOLESŁAWA KRZYWOUSTEGO W SŁUPSKU, sekretariat@lo1.slupsk.pl, http://lo1.slupsk.pl, Typ: Liceum ogólnokształcące,Słupsk
I LICEUM OGÓLNOKSZTAŁCĄCE IM. DR. WŁADYSŁAWA GĘBIKA D. POLSKIE GIMNAZJUM W KWIDZYNIE  ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 1 W KWIDZYNIE, sekretariat@zsokwidzyn.pl, http://www.1lo.ckj.edu.pl, Typ: Liceum ogólnokształcące,Kwidzyn
I LICEUM OGÓLNOKSZTAŁCĄCE IM. HENRYKA SIENKIEWICZA, sekretariat@lo1malbork.pl, http://www.lo1malbork.pl, Typ: Liceum ogólnokształcące,Malbork
I LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA III SOBIESKIEGO W WEJHEROWIE, sekretariat@liceum1.pl, http://www.liceum1.pl, Typ: Liceum ogólnokształcące,Wejherowo
I LICEUM OGÓLNOKSZTAŁCĄCE IM. KSIĄŻĄT POMORSKICH W RUMI, 1lo@rumia.edu.pl, http://www.lo1.rumia.pl, Typ: Liceum ogólnokształcące,Rumia
I LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE W STAROGARDZIE GDAŃSKIM, czerwonyogolniak@wp.pl, http://www.lo.internetdsl.pl, Typ: Liceum ogólnokształcące,StarogardGdański
I LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE W TCZEWIE, pierwsze.liceum.tczew@gmail.com, http://www.sklodowska.szkola.tczew.pl, Typ: Liceum ogólnokształcące,Tczew
I LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA W GDAŃSKU, sekretariat@lo1.edu.gdansk.pl, http://lo1.edu.gdansk.pl, Typ: Liceum ogólnokształcące,Gdańsk
I LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA ŻEROSKIEGO W PUCKU, sekretariat@lo-puck.gda.pl, http://lo-puck.gda.pl, Typ: Liceum ogólnokształcące,Puck
I LICEUM OGÓLNOKSZTAŁCĄCE W LĘBORKU, sekretariat@lo1.lebork.pl, http://www.lo1.lebork.pl, Typ: Liceum ogólnokształcące,Lębork
I LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI MISTRZOSTWA SPORTOWEGO IM. MARII SKŁODOWSKIEJ-CURIE, szkola@1losopot.pl, http://, Typ: Liceum ogólnokształcące,Sopot
I LICEUM OGÓLNOKSZTAŁCĄCE ZAOCZNE, szkolyzaoczne@wp.pl, https://www.szkolyzaoczne.pl/, Typ: Liceum ogólnokształcące,Gdynia
I PRYWATNE LICEUM OGÓLNOKSZTAŁCĄCE W SŁUPSKU, technik@technik.slupsk.pl, http://www.technik.slupsk.pl, Typ: Liceum ogólnokształcące,Słupsk
I SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE IM. ZJEDNOCZONEJ EUROPY STO W SŁUPSKU, sg@spoleczna.slupsk.pl, http://www.spoleczna.slupsk.pl, Typ: Liceum ogólnokształcące,Słupsk
II LICEUM OGÓLNOKSZTAŁCĄCE, zstczluchow@wp.pl, http://, Typ: Liceum ogólnokształcące,Człuchów
II LICEUM OGÓLNOKSZTAŁCĄCE, liceum@malbork.org, http://www.zsp2malbork.ehost.pl, Typ: Liceum ogólnokształcące,Malbork
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH,, http://, Typ: Liceum ogólnokształcące,Kościerzyna
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W KWIDZYNIE,, http://, Typ: Liceum ogólnokształcące,Kwidzyn
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W LĘBORKU, sekretariat@zso2.com, http://, Typ: Liceum ogólnokształcące,Lębork
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W WEJHEROWIE, info@zspg4.wejher.pl, http://www.zspg4.wejher.pl, Typ: Liceum ogólnokształcące,Wejherowo
II LICEUM OGÓLNOKSZTAŁCĄCE IM. BOLESŁAWA CHROBREGO W SOPOCIE, lo2@sopot.pl, http://www.lo2.sopot.pl, Typ: Liceum ogólnokształcące,Sopot
II LICEUM OGÓLNOKSZTAŁCĄCE IM. DR. WŁADYSŁAWA PNIEWSKIEGO W GDAŃSKU, sekretariat@lo2.edu.gdansk.pl, http://lo2.edu.gdansk.pl, Typ: Liceum ogólnokształcące,Gdańsk
II LICEUM OGÓLNOKSZTAŁCĄCE IM. GEN. WŁADYSŁAWA ANDERSA W CHOJNICACH, sekretariat@2lochojnice.pl, http://2lochojnice.pl, Typ: Liceum ogólnokształcące,Chojnice
II LICEUM OGÓLNOKSZTAŁCĄCE IM. J. K. KORZENIOWSKIEGO,, http://, Typ: Liceum ogólnokształcące,Rumia
II LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA III SOBIESKIEGO W TCZEWIE, 2losobieski@wp.pl, http://2lotczew.superszkolna.pl, Typ: Liceum ogólnokształcące,Tczew
II LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA WYSPIAŃSKIEGO W KWIDZYNIE ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR  2 W KWIDZYNIE, dyrektor@2lo-kwidzyn.pl, http://www.2lokwidzyn.msi.pl, Typ: Liceum ogólnokształcące,Kwidzyn
II LICEUM OGÓLNOKSZTAŁCĄCE IM.ZIEMI KOCIEWSKIEJ W STAROGARDZIE GDAŃSKIM, skora@zipnet.com.pl, http://www.2lo.stg.pl, Typ: Liceum ogólnokształcące,StarogardGdański
II LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO W BYTOWIE, sekretariat@zspbytow.pl, http://www.zspbytow.pl, Typ: Liceum ogólnokształcące,Bytów
II LICEUM OGÓLNOKSZTAŁCĄCE W LĘBORKU, sekretariat@zso.com, http://www.zso2.com, Typ: Liceum ogólnokształcące,Lębork
II LICEUM OGÓLNOKSZTAŁCĄCE W PRUSZCZU GDAŃSKIM, sekretariat@zsoio.pl, http://www.zsoio.pl, Typ: Liceum ogólnokształcące,PruszczGdański
II LICEUM OGÓLNOKSZTAŁCĄCE W PUCKU W POWIATOWYM CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO W PUCKU, kancelaria@pckziu-puck.pl, http://www.pckziu-puck.pl, Typ: Liceum ogólnokształcące,Puck
II LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ADAMA MICKIEWICZA, sekretariat@iilo.edu.gdynia.pl, https://www.lo2gdynia.pl/, Typ: Liceum ogólnokształcące,Gdynia
II LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ADAMA MICKIEWICZA W SŁUPSKU, sekretariat@lo2.slupsk.pl, http://lo2.slupsk.pl, Typ: Liceum ogólnokształcące,Słupsk
III LICEUM OGÓLNOKSZTAŁCĄCE, zser@wp.pl, http://www.zserbytow.edu.pl, Typ: Liceum ogólnokształcące,Bytów
III LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W LĘBORKU, sekretariat@pce.lebork.pl, http://www.pce.lebork.pl, Typ: Liceum ogólnokształcące,Lębork
III LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W WEJHEROWIE, sekretariat@pzs3.info, https://pzs3.info/, Typ: Liceum ogólnokształcące,Wejherowo
III LICEUM OGÓLNOKSZTAŁCĄCE IM. AGNIESZKI OSIECKIEJ W SOPOCIE, sekretariat@3lo.sopot.pl, http://, Typ: Liceum ogólnokształcące,Sopot
III LICEUM OGÓLNOKSZTAŁCĄCE IM. MARYNARKI WOJENNEJ RP Z ODDZ. DWUJĘZYCZNYMI, sekretariat@iiilo.edu.gdynia.pl, https://www.lo3.gdynia.pl/, Typ: Liceum ogólnokształcące,Gdynia
III LICEUM OGÓLNOKSZTAŁCĄCE W WEJHEROWIE, sekretariat@wejherowo-elektryk.pl, http://www.wejherowo-elektryk.pl, Typ: Liceum ogólnokształcące,Wejherowo
INTER-STUDIUM,, http://, Typ: Szkoła policealna,StarogardGdański
IV LICEUM OGÓLNOKSZTAŁCĄCE, zsp4@zsp4.malbork.pl, http://www.zsp4.malbork.pl, Typ: Liceum ogólnokształcące,Malbork
IV LICEUM OGÓLNOKSZTAŁCĄCE, pzs1.koscierzyna@powiatkoscierski.pl, http://www.pzs1.pl, Typ: Liceum ogólnokształcące,Kościerzyna
IV LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, zaoczny@sopot.pl, http://, Typ: Liceum ogólnokształcące,Sopot
IV LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KAMILA BACZYŃSKIEGO W SŁUPSKU, 4lo.slupsk@interia.pl, http://www.4lo.slupsk.pl, Typ: Liceum ogólnokształcące,Słupsk
IV LICEUM OGÓLNOKSZTAŁCĄCE W WEJHEROWIE, sekretariat@pzs3.info, https://pzs3.info/, Typ: Liceum ogólnokształcące,Wejherowo
IX LICEUM OGÓLNOKSZTAŁCĄCE IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO, sekretariat@ixlo.edu.gdynia.pl, https://www.lo9.gdynia.pl/, Typ: Liceum ogólnokształcące,Gdynia
JEDNOROCZNE STUDIUM ZAWODOWE TECHNIK, technik@technik.slupsk.pl, http://www.technik.slupsk.pl, Typ: Szkoła policealna,Słupsk
KASZUBSKIE LICEUM OGÓLNOKSZTAŁCĄCE W BRUSACH, sekretariat@zsbrusy.pl, http://zsbrusy.pl, Typ: Liceum ogólnokształcące,Brusy
KATOLICKIE LICEUM OGÓLNOKSZTAŁCACE IM. ŚW MARKA W SŁUPSKU, zsk.slupsk@gmail.com, http://zsk.slupsk.pl, Typ: Liceum ogólnokształcące,Słupsk
KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ROMUALDA TRAUGUTTA W CHOJNICACH, sekretariat@katolik.chojnice.pl, http://www.katolik.chojnice.pl, Typ: Liceum ogólnokształcące,Chojnice
KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. JANA PAWŁA II W GDYNI, sekretariat@katolik.info.pl, http://www.katolik.info.pl, Typ: Liceum ogólnokształcące,Gdynia
KATOLICKIE NIEPUBLCIZNE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. JANA PAWŁA II, ksnp@katolicka.com.pl, http://, Typ: Liceum ogólnokształcące,PruszczGdański
KOCIEWSKIE LICEUM OGÓLNOKSZTAŁCĄCE,, http://, Typ: Liceum ogólnokształcące,StarogardGdański
LICEUM  OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W PELPLINIE, sekretariat@zsp.pelplin.pl, http://www.liceum.pelplin.pl, Typ: Liceum ogólnokształcące,Pelplin
LICEUM AKADEMICKIE IM. MACIEJA PŁAŻYŃSKIEGO W PUCKU, m.oberzig@op.pl, http://la.pozytywneinicjatywy.pl, Typ: Liceum ogólnokształcące,Puck
LICEUM AKADEMII DOBREJ EDUKACJI IM. MACIEJA PŁAŻYŃSKIEGO, ade.gdansk@dobraedukacja.edu.pl, http://www.gdansk.dobraedukacja.edu.pl, Typ: Liceum ogólnokształcące,Gdańsk
LICEUM OGOLNOKSZTAŁCĄCE DLA DOROSŁYCH OMEGA W GDANSKU, szkola@cedo.edu.pl, http://www.cedo.edu.pl, Typ: Liceum ogólnokształcące,Gdańsk
LICEUM OGÓLNOKSZTAŁCACE DLA DOROSŁYCH, sekretariat@zsbtczew.pl, http://zsbtczew.pl, Typ: Liceum ogólnokształcące,Tczew
LICEUM OGÓLNOKSZTAŁCĄCE, sekretariat@zspgniew.pl, http://www.zspgniew.pl, Typ: Liceum ogólnokształcące,Gniew
LICEUM OGÓLNOKSZTAŁCĄCE, ckz.nauka@wp.pl, http://www.nauka.etczew.eu, Typ: Liceum ogólnokształcące,Tczew
LICEUM OGÓLNOKSZTAŁCĄCE, ckz.nauka@wp.pl, http://www.nauka.etczew.eu, Typ: Liceum ogólnokształcące,Tczew
LICEUM OGÓLNOKSZTAŁCĄCE  MISTRZOSTWA SPORTOWEGO IM. DR JERZEGO KRZYSZTOFOWICZA W SŁUPSKU, sekretariat@szi.slupsk.pl, http://www.zsi.slupsk.pl, Typ: Liceum ogólnokształcące,Słupsk
LICEUM OGÓLNOKSZTAŁCĄCE "COLLEGIUM GEDANENSE", lo@cg.gda.pl, http://cg.gda.pl, Typ: Liceum ogólnokształcące,Gdańsk
LICEUM OGÓLNOKSZTAŁCĄCE ALTERNATYWA CENTRUM NAUKI, sekretariat@alternatywa.szkola.pl, http://, Typ: Liceum ogólnokształcące,Gdańsk
LICEUM OGÓLNOKSZTAŁCĄCE CKU CZŁUCHÓW,, http://, Typ: Liceum ogólnokształcące,Człuchów
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, psr@psr.gda.pl, http://, Typ: Liceum ogólnokształcące,Gdańsk
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, sekretariat@ckziu3.edu.gdynia.pl, https://ckziunr3.pl/, Typ: Liceum ogólnokształcące,Gdynia
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, pzs1.koscierzyna@powiatkoscierski.pl, http://, Typ: Liceum ogólnokształcące,Kościerzyna
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, sekretariat@zsbrusy.pl, http://, Typ: Liceum ogólnokształcące,Brusy
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, poczta@ckziuchojnice.pl, http://ckziuchojnice.pl, Typ: Liceum ogólnokształcące,Chojnice
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH,, http://, Typ: Liceum ogólnokształcące,Kościerzyna
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, sekretariat@zsoitmiastko.pl, http://www.zsoitmiastko.pl, Typ: Liceum ogólnokształcące,Miastko
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, psr@psr.gda.pl, http://, Typ: Liceum ogólnokształcące,Gdańsk
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, sekretariat@ckziu3.edu.gdynia.pl, https://ckziunr3.pl/, Typ: Liceum ogólnokształcące,Gdynia
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, pzs1.koscierzyna@powiatkoscierski.pl, http://, Typ: Liceum ogólnokształcące,Kościerzyna
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, sekretariat@zsbrusy.pl, http://, Typ: Liceum ogólnokształcące,Brusy
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, sekretariat@zspskorcz.pl, http://www.zspskorcz.pl, Typ: Liceum ogólnokształcące,Skórcz
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, poczta@ckziuchojnice.pl, http://ckziuchojnice.pl, Typ: Liceum ogólnokształcące,Chojnice
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "ALTERNATYWA" CENTRUM NAUKI, alternatywa@centrumnauki.edu.pl, http://centrumnauki.edu.pl, Typ: Liceum ogólnokształcące,Gdańsk
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "EDUKATOR" W RUMI, kontakt@edu-kreator.pl, http://www.edu-kreator.pl, Typ: Liceum ogólnokształcące,Rumia
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "PASCAL" W CHOJNICACH, chojnice@pascal.edu.pl, http://, Typ: Liceum ogólnokształcące,Chojnice
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "PASCAL" W TCZEWIE, tczew@pascal.edu.pl, http://, Typ: Liceum ogólnokształcące,Tczew
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "ŻAK", starogard@zak.edu.pl, http://, Typ: Liceum ogólnokształcące,StarogardGdański
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "ŻAK" W GDAŃSKU, gdansk@zak.edu.pl, http://zak.edu.pl/gdansk, Typ: Liceum ogólnokształcące,Gdańsk
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "ŻAK" W GDYNI, gdynia@zak.edu.pl, https://zak.edu.pl/, Typ: Liceum ogólnokształcące,Gdynia
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH "ŻAK" W KWIDZYNIE, centrala@zak.edu.pl, http://www.zak.edu.pl, Typ: Liceum ogólnokształcące,Kwidzyn
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH PROGRES W CZŁUCHOWIE,, http://, Typ: Liceum ogólnokształcące,Debrzno
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W BYTOWIE, dyrekcja@lo.bytow.pl, http://www.lo.bytow.pl, Typ: Liceum ogólnokształcące,Bytów
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W CZARNEJ WODZIE, zspczarwod@poczta.onet.pl, http://, Typ: Liceum ogólnokształcące,CzarnaWoda
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W GDAŃSKU, glogda@wp.pl, http://www.glogdansk.pl, Typ: Liceum ogólnokształcące,Gdańsk
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W GNIEWIE, sekretariat@zspgniew.pl, http://www.zspgniew.pl, Typ: Liceum ogólnokształcące,Gniew
